close;timestamp;token
21,51;08.06.2021;PCB
22,3;07.06.2021;PCB
25,97;06.06.2021;PCB
26,21;05.06.2021;PCB
28;04.06.2021;PCB
32,77;03.06.2021;PCB
27,83;02.06.2021;PCB
23,47;01.06.2021;PCB
23,44;31.05.2021;PCB
21,01;30.05.2021;PCB
19,59;29.05.2021;PCB
22,26;28.05.2021;PCB
25,22;27.05.2021;PCB
26,26;26.05.2021;PCB
29,62;25.05.2021;PCB
32,75;24.05.2021;PCB
26,72;23.05.2021;PCB
37,4;22.05.2021;PCB
49,9;21.05.2021;PCB
46,65;20.05.2021;PCB
64,39;19.05.2021;PCB
20,57;14.08.2021;PCS
21,04;13.08.2021;PCS
19,49;12.08.2021;PCS
19,71;11.08.2021;PCS
18,84;10.08.2021;PCS
18,3;09.08.2021;PCS
17,39;08.08.2021;PCS
18,18;07.08.2021;PCS
18,1;06.08.2021;PCS
17,49;05.08.2021;PCS
17,56;04.08.2021;PCS
16,31;03.08.2021;PCS
15,85;02.08.2021;PCS
16,03;01.08.2021;PCS
15,97;31.07.2021;PCS
15,18;30.07.2021;PCS
14,89;29.07.2021;PCS
14,92;28.07.2021;PCS
14,75;27.07.2021;PCS
14,27;26.07.2021;PCS
13,91;25.07.2021;PCS
14,06;24.07.2021;PCS
13,76;23.07.2021;PCS
13,02;22.07.2021;PCS
12,97;21.07.2021;PCS
11,26;20.07.2021;PCS
12,08;19.07.2021;PCS
12,97;18.07.2021;PCS
12,77;17.07.2021;PCS
12,85;16.07.2021;PCS
13,71;15.07.2021;PCS
14,01;14.07.2021;PCS
14,51;13.07.2021;PCS
14,86;12.07.2021;PCS
15,16;11.07.2021;PCS
14,99;10.07.2021;PCS
14,54;09.07.2021;PCS
14,32;08.07.2021;PCS
15,24;07.07.2021;PCS
15,5;06.07.2021;PCS
14,09;05.07.2021;PCS
14,18;04.07.2021;PCS
13,61;03.07.2021;PCS
13;02.07.2021;PCS
12,87;01.07.2021;PCS
13,85;30.06.2021;PCS
13,82;29.06.2021;PCS
13,32;28.06.2021;PCS
13,03;27.06.2021;PCS
12,28;26.06.2021;PCS
12,24;25.06.2021;PCS
13,85;24.06.2021;PCS
13,63;23.06.2021;PCS
12,01;22.06.2021;PCS
12,12;21.06.2021;PCS
16,07;20.06.2021;PCS
15,46;19.06.2021;PCS
15,71;18.06.2021;PCS
16,23;17.06.2021;PCS
16,08;16.06.2021;PCS
17,21;15.06.2021;PCS
17,29;14.06.2021;PCS
16,85;13.06.2021;PCS
15,77;12.06.2021;PCS
16,02;11.06.2021;PCS
16,79;10.06.2021;PCS
18,43;09.06.2021;PCS
17,03;08.06.2021;PCS
17,08;07.06.2021;PCS
18,89;06.06.2021;PCS
18,99;05.06.2021;PCS
19,1;04.06.2021;PCS
21,25;03.06.2021;PCS
19,29;02.06.2021;PCS
17,86;01.06.2021;PCS
17,94;31.05.2021;PCS
15,9;30.05.2021;PCS
14,71;29.05.2021;PCS
15,94;28.05.2021;PCS
18,3;27.05.2021;PCS
19,37;26.05.2021;PCS
17,73;25.05.2021;PCS
17,8;24.05.2021;PCS
12,75;23.05.2021;PCS
15,18;22.05.2021;PCS
16,88;21.05.2021;PCS
20,25;20.05.2021;PCS
15,55;19.05.2021;PCS
405,96;14.08.2021;BNB
409,5;13.08.2021;BNB
385,92;12.08.2021;BNB
